Data from 03 0.5 mM K2Cr2O7 0.3 mM BQDS 1 M H2SO4 5 min_Absorbance_0013.txt Node
Date: Mon Dec 13 18:44:46 EST 2021
User: kwabilab-user
Spectrometer: HDX00518
Trigger mode: 0
Integration Time (sec): 5.000000E-2
Scans to average: 50
Nonlinearity correction enabled: false
Boxcar width: 0
Storing dark spectrum: false
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 2068
>>>>>Begin Spectral Data<<<<<
195.27	0.0306
195.642	0.0309
196.014	-0.0832
196.386	0.1436
196.758	0.0176
197.129	-0.0174
197.501	-0.0105
197.872	0.0276
198.244	0.0451
198.615	0.0753
198.986	0.0615
199.357	0.057
199.728	0.0335
200.099	0.058
200.47	0.0338
200.841	0.0523
201.212	0.0494
201.582	0.0634
201.953	0.0431
202.323	0.0612
202.694	0.0422
203.064	0.0351
203.434	0.0726
203.804	0.0545
204.174	0.0564
204.544	0.0647
204.914	0.0567
205.284	0.0474
205.653	0.0475
206.023	0.037
206.393	0.0165
206.762	0.0546
207.131	0.0569
207.501	0.0498
207.87	0.0839
208.239	0.0629
208.608	0.0499
208.977	0.0456
209.346	0.056
209.715	0.0447
210.083	0.0293
210.452	0.0372
210.82	0.0553
211.189	0.0291
211.557	0.0511
211.925	0.0199
212.294	0.0515
212.662	0.0461
213.03	0.0554
213.398	0.0669
213.766	0.0654
214.133	0.0731
214.501	0.0592
214.869	0.056
215.236	0.0493
215.604	0.051
215.971	0.0885
216.338	0.08
216.705	0.0802
217.072	0.0867
217.439	0.0529
217.806	0.0768
218.173	0.0688
218.54	0.0969
218.907	0.0965
219.273	0.1073
219.64	0.1215
220.006	0.1247
220.373	0.1127
220.739	0.1333
221.105	0.1771
221.471	0.1856
221.837	0.1676
222.203	0.1929
222.569	0.2134
222.935	0.2488
223.3	0.2508
223.666	0.279
224.031	0.3068
224.397	0.3034
224.762	0.331
225.127	0.3742
225.493	0.3804
225.858	0.4109
226.223	0.4333
226.588	0.4699
226.952	0.4902
227.317	0.5296
227.682	0.5218
228.046	0.5126
228.411	0.5633
228.775	0.5632
229.14	0.5947
229.504	0.6114
229.868	0.6119
230.232	0.6375
230.596	0.6402
230.96	0.6737
231.324	0.659
231.688	0.6998
232.052	0.6995
232.415	0.6996
232.779	0.7212
233.142	0.721
233.505	0.7359
233.869	0.7463
234.232	0.7458
234.595	0.7371
234.958	0.7442
235.321	0.7527
235.684	0.7478
236.047	0.7599
236.409	0.7331
236.772	0.7622
237.134	0.7644
237.497	0.7534
237.859	0.7732
238.222	0.7644
238.584	0.7737
238.946	0.7623
239.308	0.7594
239.67	0.7602
240.032	0.7652
240.393	0.7641
240.755	0.7558
241.117	0.7684
241.478	0.7732
